project,commit_id,contains_bug,bug_probability,prediction,error_type,time_stamp,ns,nd,nf,entropy,la,ld,lt,is_fix,ndev,age,nuc,exp,rexp,sexp,htmlcss,strict,bdom,so,tc
serverless,5a0a31f8a0d51381a3de2e55a8e0884594a10cf8,False,0.2823450071554712,0,True Negative,1515105439,1,1,1,0.0,4,4,407.0,0,4.0,0.88,9.0,3,2.96,3.0,0.0,0.0,0.0,0.0,0.0
pdf.js,b76cf665ecbe5195557df3f7441b1d6db94fb0c9,True,0.9420675022161553,1,True Positive,1515105787,2,5,7,0.208609,272,305,977.29,1,8.0,-82.62,138.14,1109,221.49,185.0,0.0,0.0,2.0,17.0,7.0
three.js,99b156e10b77df078cbaaf954097e34ccccfe46e,False,0.0009936418736791381,0,True Negative,1515106321,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,11495,3727.41,0.0,0.0,0.0,0.0,0.0,0.0
material-ui,573b657e2dd38ed69fe387692298f45d2d907df4,False,0.005655495972197104,0,True Negative,1515109493,2,2,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1660,964.85,350.0,0.0,0.0,0.0,0.0,0.0
three.js,80a1ef481f893da7e27d644868c149c246247ec4,False,0.19972009646108835,0,True Negative,1515112766,1,1,1,0.0,3,2,2638.0,0,6.0,17.21,274.0,52,39.83,39.0,0.0,0.0,0.0,0.0,0.0
three.js,39976de2c47c86a2d5f8c241e8c1eeae788739e9,False,0.0009936418736791381,0,True Negative,1515113181,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,11496,3728.05,0.0,0.0,0.0,0.0,0.0,0.0
three.js,a5776a6d3022b1cecabe523c587f8e9614b5e509,False,0.1393489737191195,0,True Negative,1515114595,1,1,1,0.0,15,15,15.0,0,1.0,668.39,2.0,11497,3728.97,2550.0,0.0,2.0,0.0,30.0,14.0
serverless,408ed25ca48da1b03bc18b36acd1b6530876152b,False,0.009131372051461736,0,True Negative,1515117926,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,220,157.9,0.0,0.0,0.0,0.0,0.0,0.0
parcel,f525925a2d02d875257c43d1d49fc32f39cf05a3,False,0.0052884162275654255,0,True Negative,1515118540,1,1,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parcel,4e2ecc3c37518f4778c20ca6cbfdd88fb28b8bde,False,0.004124764657515074,0,True Negative,1515118540,1,1,0,0.0,0,0,0.0,1,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
babel,aec6e5c370cb704a13ac3ef3ab4170b2294d4c5a,False,0.0053133057219868374,0,True Negative,1515119743,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
babel,1ded1d7ff684e77013b51fc271c957fc15ed2742,False,0.6801704480197737,1,False Positive,1515122151,1,2,1,0.0,6,6,270.0,0,9.0,7.47,18.0,0,0.0,0.0,0.0,0.0,5.0,1.0,1.0
serverless,1a2c9b631b015af9e6ef42ae2bcc2224c743d58d,False,0.009131372051461736,0,True Negative,1515122532,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,221,158.88,0.0,0.0,0.0,0.0,0.0,0.0
three.js,9e4849ace7b9e8ebfbda022f9f32e3bf18e68dee,False,0.23912416095524755,0,True Negative,1515130202,1,1,1,0.0,5,79,3555.0,0,3.0,1.13,231.0,484,307.51,175.0,0.0,0.0,0.0,8.0,0.0
three.js,440d85a67219476a71a8df1f5482c02addeb2832,False,0.0009936418736791381,0,True Negative,1515133187,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,11498,3729.0,0.0,0.0,0.0,0.0,0.0,0.0
webpack,1590751da2c89e4198539db0ee3720d13851c76f,True,0.6561338190798727,1,True Positive,1515134469,1,2,5,0.56491,30,37,519.0,0,8.0,19.12,66.2,29,27.89,21.0,0.0,0.0,0.0,2.0,0.0
material-ui,3fe31d8c752fa3f345af01bcfab0a8bbf8a0d3c4,False,0.8753632912201669,1,False Positive,1515140417,3,5,6,0.436488,35,28,135.33,1,21.0,9.51,32.67,7,6.07,2.66667,0.0,0.0,0.0,0.0,0.0
material-ui,4e2faeadb0633950fd703eb742b01d4d8501a45a,True,0.8060884881139635,1,True Positive,1515140630,1,14,15,0.6040909999999999,46,26,220.13,0,33.0,7.94,15.13,1661,965.24,793.0,0.0,0.0,0.0,11.0,0.0
three.js,8485ffd4815b506f876b18f8676a50aee13d7a29,False,0.6126662051567986,1,False Positive,1515142714,1,1,1,0.0,81,21,396.0,0,2.0,0.67,17.0,343,90.45,15.0,0.0,0.0,0.0,0.0,0.0
material-ui,a053d20e8b0f2bc8269fef8bf9eb9d33c2d8364c,False,0.0052884162275654255,0,True Negative,1515149459,1,1,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
material-ui,1c212d61e877cda72399e065f050b110d29fa0a6,False,0.0052884162275654255,0,True Negative,1515160565,1,1,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
webpack,dc7ebeb8d09a89b553245d314dca07e9c547936a,False,0.25177309563753586,0,True Negative,1515161692,1,1,1,0.0,2,2,116.0,1,3.0,16.51,14.0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0
react,8d336aa97e9b514dabe78d8192fd58ccdd99aa7a,True,0.3688666669867768,0,False Negative,1515167539,1,1,2,0.210758,7,0,538.5,0,20.0,27.39,98.5,17,9.34,1.0,0.0,0.0,0.0,0.0,0.0
serverless,45f5e155500931a17a43b8c748acf478ab818f16,False,0.009131372051461736,0,True Negative,1515167795,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,222,159.71,0.0,0.0,0.0,0.0,0.0,0.0
axios,8be4d65cdd22d7ce4f7d069f790463a20290858a,False,0.00745577670703806,0,True Negative,1515169815,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,161,81.15,0.0,0.0,0.0,0.0,0.0,0.0
react,43af41be537da5a802c2d0c767df3e406f4a81cc,False,0.7177897842339357,1,False Positive,1515169885,1,2,2,0.18554,47,0,310.0,0,7.0,35.82,9.5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
axios,ae218d0131ecbd683310272c10b0273fd1d97de4,False,0.00745577670703806,0,True Negative,1515170037,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,162,82.15,0.0,0.0,0.0,0.0,0.0,0.0
