feature,importance_mean,importance_std
la,0.2921868347769356,0.002114346072075328
exp,0.030931490278042983,0.0005630726757365487
sexp,0.012688273781630177,0.0005845192914416145
rexp,0.009735038752266023,0.0008550409236552927
entropy,0.005898245447118611,0.00029691649347639775
lt,0.005506673033260379,0.0006921863780762594
ld,0.004593197980350605,0.00046860468671552945
nuc,0.0036639805475059627,0.0001635980189056024
nd,0.003600693052542603,0.0003007546929191552
ndev,0.003555615633759479,0.0008616988634888139
age,0.0029893987164621993,0.00023495708646878384
so,0.0012724711657199571,0.0001616291259000489
is_fix,0.0012715172400483699,0.00023740550533993021
ns,0.000734221472537322,0.00014013069925443626
tc,0.0006810445471506776,0.00016294486404918874
bdom,0.0006153300150689711,0.00026513632387396434
nf,0.0003111361501829668,0.00013094130307969806
strict,0.00010800419431209463,2.951736502640012e-05
htmlcss,-3.967913776969923e-06,4.4247509518531904e-05
