project,samples,bugs,true_positive,true_negative,false_positive,false_negative,precision,recall,f1
jquery,126,52,41,57,17,11,0.7068965517241379,0.7884615384615384,0.7454545454545455
material-ui,2855,846,689,1596,413,157,0.6252268602540835,0.8144208037825059,0.7073921971252567
react,1526,508,469,571,447,39,0.5120087336244541,0.9232283464566929,0.6587078651685393
Ghost,1517,375,302,828,314,73,0.4902597402597403,0.8053333333333333,0.6094853683148335
parcel,1806,478,425,803,525,53,0.4473684210526316,0.8891213389121339,0.5952380952380952
babel,1342,295,263,668,379,32,0.40965732087227413,0.8915254237288136,0.5613660618996799
webpack,3515,425,287,2646,444,138,0.39261285909712723,0.6752941176470588,0.49653979238754326
yarn,663,109,97,360,194,12,0.3333333333333333,0.8899082568807339,0.485
serverless,2125,165,116,1745,215,49,0.3504531722054381,0.703030303030303,0.46774193548387094
Chart.js,264,53,44,119,92,9,0.3235294117647059,0.8301886792452831,0.4656084656084656
vue,569,94,64,348,127,30,0.33507853403141363,0.6808510638297872,0.44912280701754387
axios,166,22,12,122,22,10,0.35294117647058826,0.5454545454545454,0.42857142857142855
hyper,264,30,23,177,57,7,0.2875,0.7666666666666667,0.41818181818181815
three.js,6218,573,318,4840,805,255,0.2831700801424755,0.5549738219895288,0.375
anime,426,59,44,220,147,15,0.23036649214659685,0.7457627118644068,0.352
pdf.js,1133,86,67,809,238,19,0.21967213114754097,0.7790697674418605,0.34271099744245526
meteor,1680,143,52,1383,154,91,0.2524271844660194,0.36363636363636365,0.2979942693409742
moment,117,1,1,85,31,0,0.03125,1.0,0.06060606060606061
lodash,130,3,0,119,8,3,0.0,0.0,0.0
express,94,0,0,85,9,0,0.0,0.0,0.0
