window,feature,importance_mean,importance_std,baseline_auc
Window 1,ns,0.0010418882715516943,6.0211739187849565e-05,0.9064260772005623
Window 1,nd,0.002240932256874473,0.0002264137669200648,0.9064260772005623
Window 1,nf,0.001524232846502338,9.055203341559581e-05,0.9064260772005623
Window 1,entropy,0.002401450208333955,0.00020677023255479695,0.9064260772005623
Window 1,la,0.3397522739456784,0.0063335092363658385,0.9064260772005623
Window 1,ld,0.0010857950416425677,0.00011992534950253797,0.9064260772005623
Window 1,lt,0.008699692016012239,0.0006219291961563218,0.9064260772005623
Window 1,is_fix,0.0020879831095384606,0.00022092498684118524,0.9064260772005623
Window 1,ndev,0.004644928853492547,0.0003657133173182419,0.9064260772005623
Window 1,age,0.0017764710338532108,0.00025724816619734534,0.9064260772005623
Window 1,nuc,0.004964616175774039,0.0003172727730397548,0.9064260772005623
Window 1,exp,0.015443327289179187,0.00044211914380412604,0.9064260772005623
Window 1,rexp,0.021991621075846023,0.00045194866223494996,0.9064260772005623
Window 1,sexp,0.007367165351683203,0.00023385924986584768,0.9064260772005623
Window 1,htmlcss,4.057133648982525e-05,3.94740042491153e-05,0.9064260772005623
Window 1,strict,0.0003584761869724451,0.0001527075845325876,0.9064260772005623
Window 1,bdom,0.0005246900069621585,0.00017802371479726532,0.9064260772005623
Window 1,so,0.0014917563443473281,0.00013204947647897397,0.9064260772005623
Window 1,tc,0.0011853387204857624,0.00014151630569133103,0.9064260772005623
Window 2,ns,0.0010740815155860118,5.70045689636632e-05,0.897661440326036
Window 2,nd,0.0021941276965274257,7.981615604362187e-05,0.897661440326036
Window 2,nf,0.0005264351751692598,0.00013783442936600028,0.897661440326036
Window 2,entropy,0.002062931061193707,0.00017309008057430036,0.897661440326036
Window 2,la,0.3338215500229095,0.00445372359661389,0.897661440326036
Window 2,ld,0.0011843925994232452,0.00024582978680835266,0.897661440326036
Window 2,lt,0.008699873305403227,0.0004475593378535815,0.897661440326036
Window 2,is_fix,0.0021544628003769884,0.0003973337856425767,0.897661440326036
Window 2,ndev,0.0055963012608586825,0.0005746763282057071,0.897661440326036
Window 2,age,0.0020831653851879793,0.00017510151274196186,0.897661440326036
Window 2,nuc,0.0025344814679846726,0.0003087465359832764,0.897661440326036
Window 2,exp,0.02372189062174812,0.00042054264132413815,0.897661440326036
Window 2,rexp,0.016192629599071463,0.000575385160676855,0.897661440326036
Window 2,sexp,0.006952069518741477,0.000587689388492698,0.897661440326036
Window 2,htmlcss,7.035827658055104e-05,4.933171195570555e-05,0.897661440326036
Window 2,strict,6.713298668832301e-05,6.153156913305155e-05,0.897661440326036
Window 2,bdom,0.0002789310217087504,8.679820960497948e-05,0.897661440326036
Window 2,so,0.0005673219797645013,9.017409198595213e-05,0.897661440326036
Window 2,tc,0.00025470707238546276,0.00010815176148448597,0.897661440326036
Window 3,ns,0.0006070338884511806,7.412810542166427e-05,0.8982457081513698
Window 3,nd,0.0026321969351425166,0.00031638866746401583,0.8982457081513698
Window 3,nf,0.0011122284269976079,0.00020820910076556085,0.8982457081513698
Window 3,entropy,0.003771081965227685,0.00014377265175348047,0.8982457081513698
Window 3,la,0.32831432100045843,0.0041966704293437095,0.8982457081513698
Window 3,ld,0.0012080511728825183,0.0001817228221426177,0.8982457081513698
Window 3,lt,0.00720201674582468,0.00048206933928865653,0.8982457081513698
Window 3,is_fix,0.0019313582371958571,0.0003021955473111227,0.8982457081513698
Window 3,ndev,0.007406347421570559,0.00047327087792978966,0.8982457081513698
Window 3,age,0.0026685587669760037,0.00017373736607599992,0.8982457081513698
Window 3,nuc,0.0037192179881719188,0.0003253173432012694,0.8982457081513698
Window 3,exp,0.025325780239356988,0.000495712426479013,0.8982457081513698
Window 3,rexp,0.0218148012392007,0.0010127192146758485,0.8982457081513698
Window 3,sexp,0.01406762099526213,0.0006159305882870105,0.8982457081513698
Window 3,htmlcss,5.807192183948651e-05,5.1526578708439264e-05,0.8982457081513698
Window 3,strict,0.0005109400764841566,0.00010678198262853153,0.8982457081513698
Window 3,bdom,0.0004536512344375243,0.00019559069870075642,0.8982457081513698
Window 3,so,0.0012710005125274205,0.00034287568595746485,0.8982457081513698
Window 3,tc,-9.09169812997268e-05,0.00016655856468600613,0.8982457081513698
Window 4,ns,0.0002769687281811928,0.00018135619373043656,0.8933519421839174
Window 4,nd,0.003544283360701672,0.0002847087531294009,0.8933519421839174
Window 4,nf,0.0006548675527192404,0.00010474468005618798,0.8933519421839174
Window 4,entropy,0.00455212351300589,0.0002499163575086719,0.8933519421839174
Window 4,la,0.31205695982230724,0.005727423782774669,0.8933519421839174
Window 4,ld,0.0004561664096743856,0.00011256248170802123,0.8933519421839174
Window 4,lt,0.009173256765073945,0.00039860534677939075,0.8933519421839174
Window 4,is_fix,0.002132666637921532,0.00013809507986707706,0.8933519421839174
Window 4,ndev,0.0032516752523763293,0.0004542650494734438,0.8933519421839174
Window 4,age,0.002507299479956493,0.0003498663102104675,0.8933519421839174
Window 4,nuc,0.0029213198534888685,0.00032722436281852407,0.8933519421839174
Window 4,exp,0.01300020529291781,0.0006296741254153727,0.8933519421839174
Window 4,rexp,0.008947753541420522,0.0007350204015005977,0.8933519421839174
Window 4,sexp,0.009992741072961397,0.0005787781481642891,0.8933519421839174
Window 4,htmlcss,5.481667081430608e-05,3.582669748271751e-05,0.8933519421839174
Window 4,strict,0.00013414089734866685,6.217493283687649e-05,0.8933519421839174
Window 4,bdom,0.0006614285164603162,0.00016208078747113286,0.8933519421839174
Window 4,so,0.0019650757000189145,0.00011717305676623098,0.8933519421839174
