feature,mean_importance,std_across_windows,min_importance,max_importance
la,0.3284862761978384,0.011907138715913614,0.31205695982230724,0.3397522739456784
exp,0.019372800860800527,0.0060663905262840516,0.01300020529291781,0.025325780239356988
rexp,0.017236701363884676,0.006147221643126826,0.008947753541420522,0.021991621075846023
sexp,0.00959489923466205,0.00327163899988837,0.006952069518741477,0.01406762099526213
lt,0.008443709708078524,0.0008573577727434463,0.00720201674582468,0.009173256765073945
ndev,0.0052248131970745295,0.0017441936202651483,0.0032516752523763293,0.007406347421570559
nuc,0.0035349088713548748,0.0010732162408870524,0.0025344814679846726,0.004964616175774039
entropy,0.003196896686940309,0.0011668963999418673,0.002062931061193707,0.00455212351300589
nd,0.002652885062311522,0.0006258813411361704,0.0021941276965274257,0.003544283360701672
age,0.002258873666493422,0.0004054392541634035,0.0017764710338532108,0.0026685587669760037
is_fix,0.0020766176962582093,0.00010071548567286002,0.0019313582371958571,0.0021544628003769884
so,0.001323788634164541,0.0005815183108327501,0.0005673219797645013,0.0019650757000189145
ld,0.0009836013059056792,0.0003555868462718846,0.0004561664096743856,0.0012080511728825183
nf,0.0009544410003471115,0.00045551906541285036,0.0005264351751692598,0.001524232846502338
ns,0.0007499931009425199,0.0003805371137368347,0.0002769687281811928,0.0010740815155860118
tc,0.0006092717576935802,0.0006263583267144377,-9.09169812997268e-05,0.0011853387204857624
bdom,0.00047967519489218734,0.00015920225374408705,0.0002789310217087504,0.0006614285164603162
strict,0.0002676725368733979,0.00020450852357312404,6.713298668832301e-05,0.0005109400764841566
htmlcss,5.595455143104222e-05,1.2245933064420114e-05,4.057133648982525e-05,7.035827658055104e-05
