commit_id,time_stamp,ns,nd,nf,entropy,la,ld,is_fix,ndev,age,lt,nuc,exp,rexp,sexp,contains_bug,htmlcss,strict,bdom,so,tc
cc0352759fbb47a673e2b88754e9e13b68a1a2a0,1558616649,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,660,247.28,0.0,False,0.0,0.0,0.0,0.0,0.0
7ea161ae04b410d3fae5feeb9904294ada25bf3a,1558615764,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,659,246.28,134.0,False,0.0,0.0,0.0,0.0,0.0
2c16c584390f0554acffbee6f6d1f54e581da681,1558615764,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,658,245.28,354.0,False,0.0,0.0,0.0,0.0,0.0
69dd931aa2c1dab597195b442c50ef8ac7902644,1558601471,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,110,23.17,4.0,False,0.0,0.0,0.0,0.0,0.0
d086841f364f17f8a6c92f6ed6a6ed27f11f56ca,1558515328,1,3,1,0.0,1,1,0,13.0,19.78,44.0,102.0,75,29.61,32.0,False,0.0,0.0,0.0,0.0,0.0
046e5df6fb7cb0a15a3f0d5db5255e79eeda062b,1558434071,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,251,194.36,0.0,False,0.0,0.0,0.0,0.0,0.0
0918844e75a8799f84642d0e4638d62599e6f42f,1558433354,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,250,193.37,54.0,False,0.0,0.0,0.0,0.0,0.0
77d24787e042909664cb8b77480d8f97caf01712,1558433354,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,249,192.37,183.0,False,0.0,0.0,0.0,0.0,0.0
53b884ec2bdc126e98d6e7fca07a4699594fa702,1557919690,1,1,1,0.0,14,7,0,1.0,78.2,40.0,7.0,248,193.88,182.0,False,0.0,0.0,0.0,0.0,0.0
d5d2bcc7a06d267d17fdac32cc89663cb6c27d91,1557826346,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,247,193.34,0.0,False,0.0,0.0,0.0,0.0,0.0
5b0b7e4d8d47c89efd9d4a6300109173a3c4f56e,1557825364,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,246,192.35,53.0,False,0.0,0.0,0.0,0.0,0.0
f0c9742fc35241c0ec8265483e71af3cb8590475,1557825364,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,245,191.35,181.0,False,0.0,0.0,0.0,0.0,0.0
39df4096b495b95d41b48df82a57160ce635dce3,1557825364,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,244,190.35,5.0,False,0.0,0.0,0.0,0.0,0.0
e82f625a154641ce09e0eaaf68ad1e4b98320be0,1557735089,1,1,1,0.0,3,7,0,12.0,34.75,631.0,338.0,243,189.79,52.0,False,0.0,0.0,0.0,0.0,0.0
bb7bb55cf3e60af99ebbc56099928827b58461bc,1557327382,2,2,0,0.0,0,0,1,0.0,0.0,0.0,0.0,183,138.68,86.0,False,0.0,0.0,0.0,0.0,0.0
c101fd90d763c13fa0fbd9bb3e1ceafb7935762f,1557317305,2,13,43,0.45591000000000004,29,2400,1,8.0,50.08,64.14,1.67,242,190.82,115.5,False,0.0,1.0,33.0,30.0,1.0
0ac5b9da40aec4fdca6363271efa0138c9b7dfb5,1557228030,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,182,138.03,0.0,False,0.0,0.0,0.0,0.0,0.0
41aa811075c106aacf033f8715555bf99d091a52,1557225449,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,180,136.04,141.0,False,0.0,0.0,0.0,0.0,0.0
04e12edc566502a39147f589ad01d53d4aa5f804,1557225449,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,179,135.04,5.0,False,0.0,0.0,0.0,0.0,0.0
53b300d7bf8ff451e23c35f86040fda55dacb886,1557225449,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,181,137.04,29.0,False,0.0,0.0,0.0,0.0,0.0
a4f4a00cc4513dbe1c0154cadbd68e85ea354384,1557204508,2,4,3,0.208525,7,42,0,10.0,138.32,620.0,72.0,83,64.22,37.0,False,0.0,0.0,0.0,1.0,0.0
65ee0f95c4ea8582d4e5a7153ddf5a0769e32e2c,1557198636,1,1,1,0.0,2,32,0,6.0,21.03,60.0,7.0,82,63.22,60.0,False,0.0,0.0,0.0,0.0,0.0
b2ed906773dc9d615c9d25cf8312e6995b538021,1557149274,1,2,2,0.70324,78,15,0,2.0,27.58,57.5,2.5,91,32.13,80.0,False,0.0,0.0,0.0,1.0,0.0
a31ed7c71d99d565e628a7defc472c79fb888339,1557145452,1,7,10,0.532359,229,17,0,5.0,115.06,77.8,3.1,1264,606.46,969.0,False,0.0,0.0,0.0,0.0,0.0
4563999352a9f235469467e81c34682650d17f3d,1557138558,1,1,0,0.0,0,0,1,0.0,0.0,0.0,0.0,241,190.7,50.0,False,0.0,0.0,0.0,0.0,0.0
b69f1e9e217d36b2732a6be6dc368290bbb770d6,1557138368,1,1,1,0.0,2,0,0,13.0,111.65,178.0,195.0,178,134.33,140.0,False,0.0,0.0,0.0,0.0,0.0
2447335ab16e4e2595a2007fd1aa30217a23fbef,1557133903,1,3,3,0.267801,69,3,1,6.0,24.05,263.33,10.67,1263,605.58,968.0,False,0.0,0.0,0.0,1.0,0.0
79345f9030a4afd69c9405fcf4c807c66a30e5ea,1557114704,1,2,2,0.278129,2,9,1,5.0,507.66,117.5,6.5,74,29.17,31.0,False,0.0,0.0,0.0,0.0,0.0
90db78b369ef6cb0b9a9bc343eab38aec5ee0398,1556966773,1,1,1,0.0,1,1,1,5.0,0.0,521.0,20.0,657,250.53,353.0,False,0.0,0.0,0.0,0.0,0.0
5db9651a60f97cf234128811c69f4974b3cbc405,1556966346,1,1,1,0.0,1,1,1,5.0,0.01,521.0,19.0,656,249.53,352.0,True,0.0,0.0,0.0,0.0,0.0
75ae3f8736b2966d2d8d57c74bd87721745498ee,1556965859,2,2,1,0.0,22,0,0,4.0,67.65,499.0,18.0,655,248.54,242.0,True,0.0,0.0,0.0,0.0,0.0
9f9dde3107d0f38b9231aa88ccef77e5c47f6c0e,1556880938,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,654,247.86,132.0,False,0.0,0.0,0.0,0.0,0.0
cd703a6dc3089ec3faffec6684966ab99db717b4,1556823856,1,1,1,0.0,0,1,1,8.0,17.27,708.0,30.0,177,134.4,139.0,False,0.0,0.0,0.0,0.0,0.0
f21e713a830b6ece10454704dd36118c5a959a78,1556812769,1,1,1,0.0,11,0,1,4.0,10.02,55.0,10.0,176,133.44,138.0,False,0.0,0.0,0.0,0.0,0.0
a77190a312a12a34653b1c63a96e9103d8533a84,1556810284,1,1,1,0.0,1,43,0,1.0,65.5,43.0,1.0,240,191.33,179.0,False,0.0,0.0,0.0,1.0,0.0
c70f5a0567e8c04d78586e4bbc8b5905d4f7f68f,1556806754,1,1,1,0.0,49,0,1,0.0,0.0,0.0,0.0,239,190.35,178.0,False,0.0,0.0,0.0,1.0,0.0
0a67a25dbc4e245fe4ff04edf456fa907a2804a2,1556806563,1,2,1,0.0,1,1,1,13.0,14.87,44.0,101.0,238,189.35,177.0,False,0.0,0.0,0.0,0.0,0.0
66f96d0a3721a1136ad25d5b60e78611d395ea7b,1556741611,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,237,188.67,49.0,False,0.0,0.0,0.0,0.0,0.0
8f76827464cc3357fc0eed668b66966f909a2cbb,1556741142,1,2,4,0.411901,165,30,0,7.0,197.37,112.5,7.25,1262,608.76,967.0,True,0.0,0.0,0.0,0.0,0.0
