commit_id,time_stamp,ns,nd,nf,entropy,la,ld,is_fix,ndev,age,lt,nuc,exp,rexp,sexp,contains_bug,htmlcss,strict,bdom,so,tc
adfbadaeb3b667a1737c6ed28edfd7a412f38dee,1557589593,0,0,0,0,0,0,0,0,0,0,0,2,1.77,0,FALSE,0,0,0,0,0
920803aca7b136a94c1f7e02bcb0ab26d264912b,1557589559,0,0,0,0,0,0,0,0,0,0,0,1,0.77,0,FALSE,0,0,0,0,0
7f001518651ca9d9b87d7b0e9f4eb3db52999cde,1549569243,2,2,2,0.330299,11,8,0,1,8.62,11,5,31,29.66,21,FALSE,0,0,0,0,0
15c000aca245eb222036831145272032256f67a0,1548975887,2,2,1,0,1,1,0,1,0.65,7,8,30,29.2,20,FALSE,0,0,0,0,0
d9c0d8a7898331e71eb8812a213367b22e16998a,1548919364,2,2,1,0,16,13,0,1,2.85,19,7,29,28.25,19,FALSE,0,0,0,0,0
231791c95a97a9223fdf945f40176f0539c21dc0,1548684865,1,1,3,0.491133,4,3,0,1,5.88,133,3.67,28,27.46,26,FALSE,0,0,0,0,0
afa2df1c870067b7f7ec1d3d7eeccc8eee8a7784,1548672929,1,1,2,0.523683,33,6,0,1,8.14,18,3.5,27,26.47,25,FALSE,0,0,0,0,0
039cc7a6240eb3d46ecba130721a637bff22c7aa,1548667604,1,1,1,0,52,3,0,1,11.98,5,2,26,25.47,24,FALSE,0,0,0,0,0
1a3491d62e3b3ed103bad51107fc7d53f68fd381,1548666608,2,2,2,0.0414987,150,5,0,1,3.05,65,4.5,25,24.47,16.5,FALSE,0,0,0,0,0
65df95150f135795f5b35696561c9c2e499997e7,1548412588,1,1,2,0.893963,139,19,0,1,4.62,103,2.5,24,23.67,22,FALSE,0,0,0,0,0
c5d596bdda4f9c4bb3198686bd38a103d01c2d07,1548393130,2,2,3,0.223395,108,23,0,1,2.9,52,3.33,23,22.68,15,FALSE,0,0,0,0,0
827c4d539e0962bc4c9762b6a6dd6dc6c8d4f552,1548326265,1,1,1,0,32,12,0,1,1,174,3,22,21.73,20,FALSE,0,0,0,0,0
7f40bfaa1aade63899f77f93d17ca4e664e5c22d,1548307581,1,1,3,0.203609,65,34,1,1,2.48,83,2.67,21,20.74,19,FALSE,0,0,0,0,0
046b5be36d2c70beddcc9bcb31c1683faa7b18a5,1548305819,1,1,2,0.272364,20,8,1,1,2.17,67,3.5,20,19.74,18,FALSE,0,0,0,0,0
13d4290e3013eae573f501bcd3a3ea7b0dea9b16,1548240979,1,1,0,0,0,0,0,0,0,0,0,19,18.78,8,FALSE,0,0,0,0,0
118a2de40a6bd6c0163a463b7b2768a7a4848f16,1548240749,1,1,1,0,73,3,0,1,7.03,5,2,18,17.78,17,FALSE,0,0,0,0,0
4f45f6a097d1c2bbb7a71bc238148f206c87d180,1548240212,2,2,2,0.0138056,173,4,0,1,4.17,22,2,17,16.79,11.5,FALSE,0,0,0,0,0
22253ae8931f62636142bbc8e860871c875d62d2,1548236644,1,1,1,0,74,8,0,1,0.95,100,3,16,15.79,15,FALSE,0,0,0,0,0
d390f1f26435e473e96de6bc135dbf1f9d4add77,1548177732,1,1,1,0,1,1,1,1,5.1,657,69,0,0,0,FALSE,0,0,0,0,0
2e998daecdc8278d4e2d80d8ed9f5a749905c39d,1548154476,1,1,2,0.12578,107,4,0,1,5.04,13,2.5,15,14.83,14,FALSE,0,0,0,0,0
c3fb8ab1bfa72585765598c8f8033ba191e0c48b,1548127294,1,1,1,0,19,7,0,1,1.46,50,3,14,13.84,13,TRUE,0,0,0,0,0
f117dceb17025bcd17213985a7481a1cfb6f2314,1548082240,1,1,1,0,104,3,0,1,5.2,5,2,13,12.86,12,TRUE,0,0,0,0,0
40986b45764b3a65782f4a22e620b90aad9e0337,1548001473,1,1,1,0,48,3,0,1,4.27,5,2,12,11.89,11,TRUE,0,0,0,0,0
79f8e7d914da798585c3ab710a435ce915f63225,1547975998,1,1,1,0,122,3,0,1,3.97,5,2,11,10.9,10,FALSE,0,0,0,0,0
368bfb0cd870b582f211fafeacd77940a44348ab,1547828821,1,1,1,0,16,69,0,1,0.23,161,3,10,9.95,9,FALSE,0,0,0,0,0
184e8df4a1bf0a57cf72b7ca90dfaeede7a8db11,1547808840,1,1,1,0,159,3,0,1,2.04,5,2,9,8.96,8,FALSE,0,0,0,0,0
47f19da536363f5d90ccba9fc00c20786badb932,1547804339,1,1,3,0.108844,153,7,0,1,1.37,10,1.33,8,7.96,7,TRUE,0,0,0,0,0
94319a68fbaf0428217cbf8575f729d3fb418e94,1547792654,2,2,4,0.24975,109,12,0,1,1.59,3,1.25,7,6.96,6,FALSE,0,0,0,0,0
df7a11aa0bb3f40a60247cb495b61eb5bca525b4,1547737348,1,1,1,0,1,1,0,1,5.89,657,68,756,418.12,415,FALSE,0,0,0,0,0
