commit_id,time_stamp,ns,nd,nf,entropy,la,ld,is_fix,ndev,age,lt,nuc,exp,rexp,sexp,contains_bug,htmlcss,strict,bdom,so,tc
438b1a3e8a52d3e4efd8aba45498477038849c97,1557779111,4,8,17,0.804363,24,35,1,171.0,203.24,266.94,153.53,504,130.33,97.5,False,0,0,0,0,0
9ec09c3b4aa5182c2a8b8f51afb861b685a4003c,1557777345,1,1,1,0.0,1,1,1,8.0,890.82,382.0,41.0,503,129.33,48.0,False,0,0,0,0,0
3527a3840585e6a359cd712591c9c57398357b9b,1557776396,2,8,27,0.435216,293,465,1,186.0,57.76,769.07,93.78,502,128.33,215.5,True,7,4,47,26,11
90f78b9aab9c99ff3ffcccb1db602670e9707fa0,1557303156,1,1,1,0.0,9,2,1,24.0,1.62,191.0,142.0,501,128.11,167.0,False,0,0,0,0,2
ccbd6b93424cbdbf86f07a86c2e55cbab497d7a3,1557303156,1,1,1,0.0,9,2,1,24.0,1.62,191.0,143.0,500,127.11,166.0,False,0,0,0,0,2
42badf34607092fd754a18f5b71e9b08457f982a,1557163380,2,2,2,0.194885,14,1,1,29.0,216.98,611.5,95.5,1,1.0,1.0,True,0,0,0,1,2
4d865d96aa5aae91823c50020b5c19da79566811,1557163380,2,2,2,0.194885,14,1,1,29.0,41.91,611.5,96.0,0,0.0,0.0,True,0,0,0,1,2
0e3e23df2275ed3a3f9f4ec3fd1dca4587969b7c,1556745585,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,68,30.8,34.0,False,0,0,0,0,0
75f7e963708b60f37a42b777f35825d33c4f8e7a,1556744674,3,3,5,0.0752977,19098,1,0,69.0,7.43,79.8,214.0,67,29.8,20.6667,False,55,8,157,1894,352
110802c7f22b677ef658963aa95ebdf5cb9c5573,1556715475,1,1,1,0.0,1,1,1,44.0,1.67,698.0,378.0,0,0.0,0.0,False,0,0,0,1,0
b220f6df88d34dd908f55d57417fcec377787e5c,1556652078,1,2,2,0.35218,1,8,1,10.0,295.04,19.5,11.5,499,127.16,165.0,False,0,1,0,0,0
cf84696fd1d7fe314a11492606529b5a658ee9e3,1556571369,3,17,66,0.45133999999999996,514,1427,1,245.0,451.07,418.15,66.3,498,126.29,197.0,True,8,6,97,103,56
58f0c00bed695f934bb205c6115e5fe99dd5c27b,1556568292,2,3,6,0.129106,14,497,1,71.0,11.38,683.83,84.5,497,125.3,212.0,False,0,0,26,9,5
6f2fae7c410dcb5876814866a03fc819f0502290,1556566836,1,1,1,0.0,59,44,1,49.0,0.02,3202.0,370.0,496,124.3,260.0,False,0,0,0,0,0
8a741376937dfacf9f82b2b88f93b239fe267435,1556565216,3,4,5,0.252038,34,91,1,51.0,550.82,732.0,90.6,495,123.3,195.0,True,0,2,0,0,0
8fae21200e80647fec4389995c4879948d11ad66,1556564813,2,4,7,0.693621,68,18,1,90.0,329.71,593.0,116.14,494,122.3,209.5,True,0,1,1,0,0
7dddb19ca4bca9685adb734c76dcf72c3f610007,1556560452,2,2,3,0.736621,20,5,1,52.0,94.39,1488.0,125.67,493,121.31,208.5,False,0,0,9,0,0
eb6c0a7c97b1b3cf00144de12d945c9c569f935c,1556558813,1,1,1,0.0,5,5,0,67.0,0.01,888.0,707.0,404,77.09,259.0,False,0,0,0,3,0
6c1e7dbf7311ae7c0c31ba335fe216185047ae5f,1556558813,1,1,1,0.0,5,5,0,67.0,0.01,888.0,707.0,403,76.09,258.0,False,0,0,0,3,0
ddfa83766478268391bc9da96683fc0d4973fcfe,1556558288,2,2,2,0.761537,61,12,1,77.0,35.0,2009.0,434.5,402,75.09,248.0,False,0,0,0,1,0
24d71ac70406f522fc1b09bf7c4025251ec3aee6,1556558288,2,2,2,0.761537,61,12,1,77.0,35.0,2009.0,434.5,401,74.09,247.0,False,0,0,0,1,0
b8d4712825a26a7f24c2bdb5a71aa3abcd345dfd,1556052255,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,491,120.04,162.0,False,0,0,0,0,0
b4fadc9b5487bc4274f062c39573061969f5e8c9,1556052255,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,492,121.04,163.0,False,0,0,0,0,0
0d4af5293449722fe873bc1a4b462a857dbbe58e,1555523785,1,2,1,0.0,4,1,1,1.0,416.82,39.0,1.0,490,119.77,159.0,False,0,0,0,0,0
874030583c9b94603de467124420e6c7a1c3c8ac,1555523785,1,2,1,0.0,4,1,1,1.0,416.82,39.0,1.0,489,118.77,158.0,True,0,0,0,0,0
bde53edcf4bd6c975d068eed4eb16c5ba09c1cff,1555390022,1,1,1,0.0,1,1,0,49.0,-13.62,3217.0,371.0,400,73.75,237.0,False,0,0,0,2,0
22caea8149fc1049ac05b9fab8242a07f25a580c,1554926248,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,66,29.73,32.0,False,0,0,0,0,0
b7fc909edda2d8cf63d0eaffe9bd12f33e492ad3,1554925743,3,3,5,0.0753052,19078,1,0,69.0,3.22,79.8,214.0,65,28.73,19.3333,False,55,8,157,1898,352
59ea7659d433a4a025a25a92c1ed350726e09f76,1554846594,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,64,27.77,30.0,False,0,0,0,0,0
7c1ef1512b3a6e5af177803aca68e268bc4c64b9,1554846365,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,63,26.77,29.0,False,0,0,0,0,0
cf9fe0f6a104a0f527c7c3f441485c19e2b19c69,1554844630,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,62,25.77,28.0,False,0,0,0,0,0
d940bc063cd5ae09bf52067bbe046fda88f1f687,1554796245,2,3,2,0.054500400000000004,53,43,1,5.0,973.57,1137.5,7.5,488,118.77,84.5,False,0,0,4,328,19
0b2c36adb4e2c048318659e4196e0925da10ead2,1554796245,2,3,2,0.054500400000000004,53,43,1,5.0,973.57,1137.5,7.5,487,117.77,83.5,False,0,0,4,328,19
