commit_id,time_stamp,ns,nd,nf,entropy,la,ld,is_fix,ndev,age,lt,nuc,exp,rexp,sexp,contains_bug,htmlcss,strict,bdom,so,tc
2a9c953948a7470eb2f57ea8d7a54780bd7d5529,1557839024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0
e42cd97dae460a7c306d0d214b0783c7eccae144,1557435253,1,1,1,0,3,2,1,116,21.03,17088,3340,0,0,0,FALSE,0,0,0,0,0
8fdf0ed9faf81c2342fd3d888d653c637c062c30,1556467244,1,1,1,0,1,1,0,2,758.97,42,11,0,0,0,FALSE,0,0,0,0,0
343456d69697dd8ac73a680707a3290faea9ae12,1555617858,2,2,2,0.0364917,69,1,0,121,27.67,21979,2236.5,0,0,0,FALSE,0,0,0,0,0
6b1d83c968b769206302c440ba0cc894cbd5209d,1555304723,1,1,1,0,1,1,1,2,786.28,32,7,7057,1389.69,4775,FALSE,0,0,0,0,0
c68170b336acc2892093994cc4d508c2ccb7a3b5,1555259162,1,1,1,0,1,0,1,3,129.64,31,10,2,1.84,2,FALSE,0,0,0,0,0
0b8592a35c4cb0ab3a7b825d1d9b37dfa1eade43,1553226893,2,2,2,0.133748,12,9,0,120,7.92,21977.5,2236,0,0,0,FALSE,0,0,0,0,2
750067f42d3aa5f927604ece2c6df0ff2b2e9d72,1552892644,1,1,2,0.251463,4,2,0,1,770.97,30.5,3.5,0,0,0,FALSE,0,0,0,0,0
7084300d3420d2b3c45fa1e9c19dedcd2ba4b97c,1552542448,2,2,2,0.405639,5,19,0,119,112.13,21984.5,2235.5,1,0.99,0.5,FALSE,0,0,0,0,0
c541e4ccdc22413eed96572acdce3b0b5fe0cb61,1552365825,1,1,2,1,2,2,1,1,707.46,40,5.5,0,0,0,FALSE,0,0,0,0,0
e7221b96ec2073e578e948966f0fce8815815c36,1550676982,1,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0
d5ef31929a1262abbc75b8dadc0b6ae6e9558b5f,1549991492,2,2,309,0.681097,22289,0,0,0,0,0,0,50,9.17,18,FALSE,0,3,12,90,111
7606ea3e25969076e77e237effda84f78ae533ca,1549991303,1,1,0,0,0,0,0,0,0,0,0,7056,1441.45,4774,FALSE,0,0,0,0,0
fe7da419562108b1da4226cf9107f63d697996b1,1549954211,1,1,1,0,2,1,0,6,406.53,212,16,2,1.85,1,FALSE,0,0,0,1,2
a1157419767cf199d0b7a426d315d0854ae67a16,1549954142,1,1,1,0,1,0,0,112,82.6,17101,3336,1,1,1,FALSE,0,0,0,0,0
15b156512faa986b1787d5371af4a1ddbb28f57e,1549954142,1,1,1,0,1,0,0,112,82.6,17101,3336,0,0,0,FALSE,0,0,0,0,0
3ae8f23bff9c5de1d903409630b0eedb8cb6b59a,1548626381,1,1,1,0,1,1,0,1,52.87,32,1,0,0,0,FALSE,0,0,0,0,0
9ac205216ec7e097095856b971dea625f4da2fe6,1548087337,1,1,0,0,0,0,0,0,0,0,0,7055,1460.45,4773,FALSE,0,0,0,0,0
0d639cff18baa1bfa705dd153ce4a2e9db6e42c5,1548087287,1,1,0,0,0,0,0,0,0,0,0,7054,1459.45,4772,FALSE,0,0,0,0,0
6352e48c332ba465a8e557b925eb598dfab468fb,1548087244,1,1,0,0,0,0,0,0,0,0,0,7053,1458.45,4771,FALSE,0,0,0,0,0
6248f8a65861b506f2c106defe28619be5f45723,1548021430,1,1,6,1,6,6,0,6,228.86,26.33,3.33,0,0,0,FALSE,0,0,0,0,0
f4ca396a796435422bd4fd41fadbd225edddf175,1547625446,1,1,1,0,1,1,0,4,424.7,35,9,1,0.99,0,FALSE,0,0,0,2,4
afab656cfea0fab7899847e5b087532cc1ba6cb3,1547192715,1,1,1,0,3,3,0,2,374.57,70,8,0,0,0,FALSE,0,0,0,1,2
a7e0428889f7c26fba5c6e7127cbb36a99e0eb44,1545841018,1,1,0,0,0,0,0,0,0,0,0,7052,1481.66,10,FALSE,0,0,0,0,0
238e763aa1973c53a6222989d8fc45bb8502b688,1544545595,2,2,4,0.939634,4,9,0,5,394.14,28.25,5.25,16,15.67,9.5,FALSE,0,0,0,0,0
aa1d7d870d9cf84842ee23ff485fd24abf0ed3d1,1544543603,2,2,15,0.656854,32,83,0,7,299.97,32.6,2.33,15,14.67,8.5,FALSE,0,0,0,2,4
c77650a17b320778cc6408a14792d2fa7b74e132,1544491793,1,1,1,0,2,24,0,2,0.04,39,8,14,13.7,10,FALSE,0,0,0,0,0
6cb1f71adf4f7dec8a51befbd83500bbcaea6bd5,1544488100,2,2,7,0.849869,8,11,0,2,638.88,45.71,3,13,12.7,7,FALSE,0,0,0,0,1
4c55ea7068124f72403352962a6f1aac70245c2e,1544488048,2,2,5,0.935133,11,11,0,4,513.64,35.6,4.2,12,11.7,6,FALSE,0,0,0,0,4
7f2ee90c9f025da5e3cdd18ef6b99a4da768433e,1544058746,1,1,1,0,7,4,1,2,624.82,26,12,11,10.86,7,FALSE,0,0,0,0,0
2130eacf4137041d2b041851f979949d689fcd18,1544058670,1,1,1,0,3,4,1,6,204.68,241,22,10,9.86,6,FALSE,0,0,0,0,0
daf1f1b10b0b40032ec053891eea12863a1540d3,1544058643,1,1,1,0,11,2,1,2,668.72,22,9,9,8.86,3,FALSE,0,0,0,0,0
c33df3147f0741cfb9ddc30e9f3b5601ffc6ecbd,1544058609,1,1,1,0,32,0,1,0,0,0,0,8,7.86,2,FALSE,0,0,0,0,0
bda6f2795f07d53c8a4788f23bbdd2357b1dc2b6,1543983982,1,1,0,0,0,0,0,0,0,0,0,7051,1501.33,176,FALSE,0,0,0,0,0
151e3162639edb6e33162b7e24b28cdf7d8f8bdc,1543983048,1,1,2,0.47756,2,5,0,2,619.53,23,6.5,7,6.87,5,FALSE,0,0,0,0,0
8eccdd098aebbbec401f0a9763074e9f26e6c721,1543982994,1,1,2,0.851622,65,0,1,0,0,0,0,6,5.87,4,FALSE,0,0,0,0,2
508d46a7a4e448ed576cc268556d6bd10b1b994f,1543684170,1,1,1,0,2,4,0,1,664.39,66,10,5,4.93,1,FALSE,0,0,0,0,0
3b199c30e037fba857c6ca5cfac824bfc48e8de9,1543594198,1,1,2,0.734496,2,3,0,1,663.35,107,4.5,4,3.94,3,FALSE,0,0,0,0,0
377e2d87c88893a8a1e4e3cd04da5a8893ea7a7b,1543417941,1,1,1,0,1,1,1,2,597.3,25,12,0,0,0,FALSE,0,0,0,0,0
c3740e08477fc67cac9f113adf84b2d77492fddc,1543159483,1,1,1,0,1,1,0,1,658.32,21,6,3,3,2,FALSE,0,0,0,0,0
78854835aaa6c2126ab0269cf517d596319d821a,1543158063,1,1,1,0,1,2,0,2,0.47,44,11,2,2,1,FALSE,0,0,0,0,0
4cae8fb22ff9bbe9bf08f13e727f2ee76051b268,1543117127,1,1,1,0,0,2,0,1,594.91,46,10,1,1,0,FALSE,0,0,0,0,0
3b96b919910889d2493e233fa49b4b89f195a6fb,1543108256,1,1,1,0,2,2,0,2,594.81,30,11,0,0,0,FALSE,0,0,0,0,0
1cb18dfada50388b142cea0b17645d70782b2736,1542817380,1,1,1,0,1,1,0,112,64.45,17101,3335,7050,1513.62,4770,FALSE,0,0,0,0,0
136d5253e724838ca701fb54db09f18b618c127e,1542512015,1,1,2,0.57938,2,4,0,1,641.34,26,5,1,0.99,1,FALSE,0,0,0,0,0
580cd4cd1b2efab5b3ba22c1478a543196cb7c2a,1542293163,1,1,0,0,0,0,0,0,0,0,0,7049,1518.67,4769,FALSE,0,0,0,0,0
f822dd8d70e1f882aa15837ea76512a8b8cd29e7,1542293028,1,1,0,0,0,0,0,0,0,0,0,1,0.95,1,FALSE,0,0,0,0,0
1e939919c0bc6c368ee06c330e9e3900b65a782f,1542093248,1,1,1,0,2,3,0,1,608.03,20,5,0,0,0,FALSE,0,0,0,0,0
c4075c18cb94a8e350539a96e69004fd29ef909a,1540809105,1,1,0,0,0,0,0,0,0,0,0,72,28.99,54,FALSE,0,0,0,0,0
d9c508272702678a72e3257b49762d5aa4d4a63e,1540738614,1,1,1,0,1,1,0,1,630.3,24,6,0,0,0,FALSE,0,0,0,0,0
6bdb8a2f75fa61473f2a93e4d65d0a0ccdea0c86,1539127708,1,1,1,0,1,1,0,3,572.07,29,9,0,0,0,FALSE,0,0,0,0,0
