commit_id,time_stamp,ns,nd,nf,entropy,la,ld,is_fix,ndev,age,lt,nuc,exp,rexp,sexp,contains_bug,htmlcss,strict,bdom,so,tc
6480654fc6af7b419abf3388c7ba5b3a644659bd,1558762181,1,8,3,0.457459,21,12,0,32,5.57,153,45.67,144,140.83,130,FALSE,0,0,0,0,0
da0824ceff8f5cefda1febd1f4403c9c0112c449,1558762181,1,4,2,0.768606,19,10,0,32,8.23,223,42,143,139.83,129,FALSE,0,0,0,0,0
961a649957509086eaade57dea420019f320326a,1558760500,1,1,1,0,25,0,0,1,0.03,137,4,142,138.84,22,FALSE,0,0,0,0,0
1d346aa5c2743f8794d546b8b6980cdbde25bba5,1558760492,1,6,1,0,1,0,0,2,9.28,18,5,141,137.84,128,FALSE,0,0,0,0,0
196048da5ddf2d63d4f5767084c0d557fe5029ca,1558757583,1,2,0,0,0,0,0,0,0,0,0,140,136.85,127,FALSE,0,0,0,0,0
6f48ccd9530c181334652bc5eb40475d0d727632,1558757564,2,5,2,0.608022,44,8,0,4,1.22,53,5,139,135.85,73.5,FALSE,0,0,0,0,0
a02d7aab4a277ee912d0dbbf5611b76bd1ea3b77,1558743762,2,2,2,0.025061,68,32,0,4,1.59,76,7.5,138,134.91,72.5,FALSE,0,0,0,0,0
2726bf3c6dd0752fb421f3d65adc577d7e6d9045,1558740903,1,1,1,0,3,2,0,6,2.09,347,56,137,133.92,124,FALSE,0,0,0,0,0
fac9602201594380d3cf36e928f5a4273323abea,1558733686,1,1,1,0,2,1,0,3,0.01,442,3,139,122.28,131,FALSE,0,0,0,0,0
ebbc8f2bfcdad0c5c3b3dd341153a96b5eadce08,1558733350,0,0,0,0,0,0,0,0,0,0,0,138,121.28,0,FALSE,0,0,0,0,0
1a45b54431d416c01ac6065d0dac69bd5dfd9b56,1558733200,1,1,2,0.0713763,87,25,0,3,3.5,253,1.5,137,120.28,130,FALSE,0,0,0,0,0
a55b37113e14a9e3a2804876a2cddd85da578e13,1558732980,0,0,0,0,0,0,0,0,0,0,0,84,70.75,0,FALSE,0,0,0,0,0
a66e8b2a782fad97d5aa5706bc6b2a1e0f27cf45,1558732896,1,4,6,0.434555,65,7,0,7,1.51,267.5,4.67,136,119.28,129,FALSE,0,0,0,0,0
3fbf887ca3823835eedecaf066b50b14e9ce660f,1558731293,1,1,2,0.674494,34,6,0,1,8.94,74,0.5,135,118.28,128,FALSE,0,0,0,0,0
e6c8dd00d8a053b20fee164e76069c5710aca490,1558730717,1,4,5,0.335388,18,3,0,7,100.71,258,5.6,134,117.29,127,FALSE,0,0,0,0,0
47d91b6b989aca9d6cc07ba1689c0145cab839c7,1558723341,1,3,4,0.546469,29,2,0,7,0.37,471.75,6.75,133,116.31,126,FALSE,0,0,0,2,2
4b50182129b19395b791cf1e4194069ae8736ef4,1558723267,1,4,6,0.426151,64,10,0,9,16.29,306.17,5.83,132,115.31,125,FALSE,0,0,0,0,0
5d83b02ce509aaebd063a7e20231e6399a311ad5,1558682723,1,2,1,0,11,6,0,2,0.28,38,3,136,133.16,123,FALSE,0,0,0,0,0
3339f8686bfbe6adfdae356f168819d148228e30,1558677655,2,5,3,0.236093,234,90,0,12,2.85,51,8.33,135,132.18,70.5,FALSE,0,0,0,0,0
6496cebedd6ba59d450cc06ff3bb7146e2218003,1558658748,1,3,3,0.268492,23,0,0,7,4.74,625,8.67,131,114.52,124,FALSE,0,0,0,0,0
9a4158576bb58ad1999f09f46ada8cd9a4adca8b,1558658365,1,4,3,0.105099,106,78,0,12,35.18,155,13,134,131.26,121,FALSE,0,0,0,0,0
632e07d742072011a61bc759705e332b3298c65a,1558654896,2,2,0,0,0,0,0,0,0,0,0,133,130.28,69,FALSE,0,0,0,0,0
cf7e1a96699a5dfc489beacbf5379f7e173b7841,1558653954,1,4,1,0,0,0,0,1,102.34,16,1,132,129.28,119,FALSE,0,0,0,0,0
30441213db644fbeffe611d2cac03f439198f056,1558652536,2,3,4,0.34291,24,8,0,4,41.11,93,1.75,130,127.29,66.5,FALSE,0,0,0,0,0
550c261caa7941f154de25889df30121a5a3393d,1558652536,2,3,4,0.34291,24,8,0,4,41.11,93,1.75,131,128.29,67.5,FALSE,0,0,0,0,0
69c70a89fe08a30cdebb4257bd674c0a8328e035,1558646526,1,1,0,0,0,0,0,0,0,0,0,128,125.31,14,FALSE,0,0,0,0,0
1b2157ba349b10b56bd29099edb8d3ae965e696e,1558646526,1,1,0,0,0,0,0,0,0,0,0,129,126.31,15,FALSE,0,0,0,0,0
6034b50e667cd25879b8c4d01e9f3d12fbd85722,1558645771,1,10,0,0,0,0,0,0,0,0,0,126,123.31,115,FALSE,0,0,0,0,0
5210c939636aa27aeb02a01cc2f440068a5918d3,1558645771,1,10,0,0,0,0,0,0,0,0,0,127,124.31,116,FALSE,0,0,0,0,0
b68a8a542273fc108ed53c25cdfe7616ada0cbcc,1558644998,2,12,10,0.215701,90,10,0,4,30.55,35,2,125,122.32,63.5,FALSE,0,0,0,0,0
541f7ed4be492d9acb1494dbffc2d05b0b8e56cb,1558644998,2,12,10,0.215701,90,10,0,4,30.55,63.5,2,124,121.32,62.5,FALSE,0,0,0,1,0
e184c053f375c8f3d330edbc32304f36801a85db,1558644917,1,27,0,0,0,0,0,0,0,0,0,122,119.32,111,FALSE,0,0,0,0,0
a496fd9910ab6af4f4a7d1161cfc4529d22ce24f,1558644917,1,27,0,0,0,0,0,0,0,0,0,123,120.32,112,FALSE,0,0,0,0,0
7bad1636f83481cf2203e8c9674c8be0afc25a58,1558643256,1,1,0,0,0,0,0,0,0,0,0,121,118.32,110,FALSE,0,0,0,0,0
