commit_id,time_stamp,ns,nd,nf,entropy,la,ld,is_fix,ndev,age,lt,nuc,exp,rexp,sexp,contains_bug,htmlcss,strict,bdom,so,tc
1089b39c17cd7054a549cf640deb9155f7d964d6,1558681127,3,3,2,0.43171099999999996,17,2,1,11.0,34.59,390.0,27.5,241,120.95,77.6667,False,0.0,0.0,0.0,0.0,0.0
ee7b6c6a5b552f4d6ef66dfe95db33bef71511cf,1556561212,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,240,124.5,51.0,False,0.0,0.0,0.0,0.0,0.0
550fb223e0204a7ce494075aa9c36ad69036c0d0,1556561027,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,239,123.5,50.0,False,0.0,0.0,0.0,0.0,0.0
60150ffeb00dcb4cb0d3f9ef775fc2c2d543b10c,1556561020,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,238,122.5,49.0,False,0.0,0.0,0.0,0.0,0.0
5c18247c12e096d04e75aadddf4b483050c8cbb7,1556545636,1,1,1,0.0,2,2,1,1.0,213.03,159.0,2.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
5531858d23e1a3b9966f6f2665246389bcbcba83,1555781146,1,2,2,0.40563899999999997,15,1,0,68.0,368.12,621.0,116.0,0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0
d4805c302d9a02fd2a52cb4e02f9092b4689fbb1,1555692568,3,3,2,0.10572899999999999,104,0,0,56.0,0.0,320.0,93.0,0,0.0,0.0,False,0.0,0.0,0.0,2.0,0.0
d6677533d47189e4ed3033ba93237d8be745d20f,1555692127,2,3,3,0.192924,14,14,1,59.0,161.0,473.33,74.67,237,123.39,89.5,True,0.0,0.0,0.0,2.0,0.0
4ad88165fdf607a70c75db556a3af95864b2189a,1555432850,3,3,2,0.120965,22,1,0,31.0,192.05,363.0,41.5,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
8a671f10c86b66baa74ef6f4cd24d4ca8ee5067a,1554719433,2,2,1,0.0,1,1,0,24.0,67.67,543.0,69.0,0,0.0,0.0,False,0.0,0.0,0.0,3.0,0.0
b409261b76f3a6506d7dc9e627a49eb02ef170c5,1553427795,2,2,1,0.0,3,1,0,9.0,220.09,66.0,11.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
697a254ee794085c77f82f14f4a515d05e81e294,1552993107,2,4,4,0.585518,12,5,1,150.0,30.78,503.5,100.25,0,0.0,0.0,False,0.0,0.0,0.0,0.0,1.0
bba4dce9018e4fa4ee38b78a5270e72187740d8b,1552909169,2,2,1,0.0,4,1,0,55.0,3.98,637.0,184.0,0,0.0,0.0,False,0.0,0.0,0.0,7.0,0.0
298e0ea6cea3ab8a610cabf28de3fdf8e7fa8d1f,1552859802,3,3,2,0.707544,34,2,1,5.0,1.88,386.5,3.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
6dbedcc40052cee6143408062bec0a5104f4744c,1552697351,3,3,3,0.137706,129,10,0,68.0,1.95,618.67,77.67,0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0
5a53ec86fbdf277ed2e9035f1c98895226835888,1552652151,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,236,129.41,48.0,False,0.0,0.0,0.0,0.0,0.0
6065f7ac8f7cec2b2c35094788117be0deae2f37,1552648582,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,208,120.13,66.0,False,0.0,0.0,0.0,0.0,0.0
835925666f11869f4fc21ffc62518782d4dd3f8e,1552648570,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,207,119.13,0.0,False,0.0,0.0,0.0,0.0,0.0
675ec42c5ea99a3cd6514da661c5a6d81976594e,1552648526,1,1,1,0.0,2,2,1,10.0,95.49,237.0,15.0,235,128.42,68.0,False,0.0,0.0,0.0,4.0,0.0
45d3e05d26b2c4950adc19001a7ac6e410c27040,1552575850,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,206,118.3,65.0,False,0.0,0.0,0.0,0.0,0.0
aff9d63f508bb9e791ee056bfa190fc8b33107cd,1552570975,3,5,4,0.35234899999999997,20,3,1,50.0,157.97,281.75,39.75,0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0
bb69888ff21cbff94e9d8583df025ea21e32a3f4,1552565550,3,4,3,0.4223770000000001,33,1,1,78.0,72.13,510.67,87.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,1.0
d4a46a5a7fe85084f7ce9dd71249ffc9837dbe9f,1552529275,3,5,4,0.18652,172,9,1,67.0,52.87,446.25,58.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
9437e5155cb7992650949b6a81652534245e8ac3,1552067391,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,205,118.46,0.0,False,0.0,0.0,0.0,0.0,0.0
2ea02c3f45244c57821b706a6b615b0ff28dcd54,1552058826,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,234,128.84,47.0,False,0.0,0.0,0.0,0.0,0.0
2366e05c7d89d3516e423ea7653703b16ca62f19,1552058794,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,204,117.48,64.0,False,0.0,0.0,0.0,0.0,0.0
15292e4de250897ebfd19c31c170fba271bd23e4,1552058788,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,203,116.48,63.0,False,0.0,0.0,0.0,0.0,0.0
bb9741af4d1fe00adb15e4a7596c7a3472d0bda3,1552058669,2,3,2,0.775805,0,12,0,78.0,7.93,685.5,107.5,0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0
379ed0aad74392fb56e53f01af47dcbc37427af5,1552058569,2,2,1,0.0,1,1,1,24.0,157.22,584.0,55.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
